local;uf;filial;deposito;cultura;lote;cultivar;Tratamento;cat;pen;um;qtd_sistema;peso_etiqueta
UBS I;GO;101.0;10.0;SOJA;11026715P2166;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1065.0
UBS I;GO;101.0;10.0;SOJA;11026715P2168;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;23;1077.0
UBS I;GO;101.0;10.0;SOJA;11026739P1001;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;27;923.0
UBS I;GO;101.0;10.0;SOJA;11026739P1003;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;868.0
UBS I;GO;101.0;10.0;SOJA;11026739P1004;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;782.0
UBS I;GO;101.0;10.0;SOJA;11026739P1006;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;795.0
UBS I;GO;101.0;10.0;SOJA;11026739P1007;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;790.0
UBS I;GO;101.0;10.0;SOJA;11026739P1009;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;791.0
UBS I;GO;101.0;10.0;SOJA;11026739P1010;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;790.0
UBS I;GO;101.0;10.0;SOJA;11026739P1012;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;775.0
UBS I;GO;101.0;10.0;SOJA;11026739P1014;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;800.0
UBS I;GO;101.0;10.0;SOJA;11026739P1015;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;787.0
UBS I;GO;101.0;10.0;SOJA;11026739P1017;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;798.0
UBS I;GO;101.0;10.0;SOJA;11026739P1018;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;804.0
UBS I;GO;101.0;10.0;SOJA;11026739P1021;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;825.0
UBS I;GO;101.0;10.0;SOJA;11026739P1023;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;813.0
UBS I;GO;101.0;10.0;SOJA;11026739P1025;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;806.0
UBS I;GO;101.0;10.0;SOJA;11026739P1028;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;805.0
UBS I;GO;101.0;10.0;SOJA;11026739P1030;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;803.0
UBS I;GO;101.0;10.0;SOJA;11026739P1033;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;829.0
UBS I;GO;101.0;10.0;SOJA;11026739P1035;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;782.0
UBS I;GO;101.0;10.0;SOJA;11026739P1036;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;24;782.0
UBS I;GO;101.0;10.0;SOJA;11026739P1038;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;21;793.0
UBS I;GO;101.0;10.0;SOJA;11026739P1041;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;814.0
UBS I;GO;101.0;10.0;SOJA;11026739P1043;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;820.0
UBS I;GO;101.0;10.0;SOJA;11026739P1322;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;824.0
UBS I;GO;101.0;10.0;SOJA;11026739P1324;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;818.0
UBS I;GO;101.0;10.0;SOJA;11026739P1328;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;0;827.0
UBS I;GO;101.0;10.0;SOJA;11026739P1329;NEO700 I2X;SEM TRATAMENTO;C2;P1;BG;30;822.0
UBS I;GO;101.0;10.0;SOJA;11026739P1332;NEO700 I2X;SEM TRATAMENTO;S2 ;P1;BG;20;828.0
UBS I;GO;101.0;10.0;SOJA;11026739P2002;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;9;1127.0
UBS I;GO;101.0;10.0;SOJA;11026739P2005;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;964.0
UBS I;GO;101.0;10.0;SOJA;11026739P2008;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;946.0
UBS I;GO;101.0;10.0;SOJA;11026739P2011;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;955.0
UBS I;GO;101.0;10.0;SOJA;11026739P2013;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;964.0
UBS I;GO;101.0;10.0;SOJA;11026739P2016;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;949.0
UBS I;GO;101.0;10.0;SOJA;11026739P2019;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;973.0
UBS I;GO;101.0;10.0;SOJA;11026739P2020;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;998.0
UBS I;GO;101.0;10.0;SOJA;11026739P2022;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;969.0
UBS I;GO;101.0;10.0;SOJA;11026739P2024;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;964.0
UBS I;GO;101.0;10.0;SOJA;11026739P2026;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;956.0
UBS I;GO;101.0;10.0;SOJA;11026739P2027;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;963.0
UBS I;GO;101.0;10.0;SOJA;11026739P2029;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;958.0
UBS I;GO;101.0;10.0;SOJA;11026739P2031;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;940.0
UBS I;GO;101.0;10.0;SOJA;11026739P2032;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;956.0
UBS I;GO;101.0;10.0;SOJA;11026739P2034;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;937.0
UBS I;GO;101.0;10.0;SOJA;11026739P2037;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;931.0
UBS I;GO;101.0;10.0;SOJA;11026739P2039;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;948.0
UBS I;GO;101.0;10.0;SOJA;11026739P2040;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;950.0
UBS I;GO;101.0;10.0;SOJA;11026739P2042;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;981.0
UBS I;GO;101.0;10.0;SOJA;11026739P2044;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;17;977.0
UBS I;GO;101.0;10.0;SOJA;11026739P2321;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;988.0
UBS I;GO;101.0;10.0;SOJA;11026739P2323;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;977.0
UBS I;GO;101.0;10.0;SOJA;11026739P2325;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;986.0
UBS I;GO;101.0;10.0;SOJA;11026739P2326;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;27;983.0
UBS I;GO;101.0;10.0;SOJA;11026739P2327;NEO700 I2X;SEM TRATAMENTO;C2;P2;BG;0;968.0
UBS I;GO;101.0;10.0;SOJA;11026739P2330;NEO700 I2X;SEM TRATAMENTO;S2;P2;BG;27;955.0
UBS I;GO;101.0;10.0;SOJA;11026739P2331;NEO700 I2X;SEM TRATAMENTO;S2;P2;BG;27;939.0
UBS I;GO;101.0;10.0;SOJA;11026739P2333;NEO700 I2X;SEM TRATAMENTO;S2;P2;BG;27;970.0
UBS I;GO;101.0;10.0;SOJA;11026739P2334;NEO700 I2X;SEM TRATAMENTO;S2;P2;BG;27;985.0
UBS I;GO;101.0;10.0;SOJA;11026739P2335;NEO700 I2X;SEM TRATAMENTO;S2;P2;BG;16;989.0
UBS I;GO;101.0;10.0;SOJA;11026740P1046;NEO771 I2X;SEM TRATAMENTO;C2;P1;BG;5;684.0
UBS I;GO;101.0;10.0;SOJA;11026740P1048;NEO771 I2X;SEM TRATAMENTO;C2;P1;BG;30;693.0
UBS I;GO;101.0;10.0;SOJA;11026740P1050;NEO771 I2X;SEM TRATAMENTO;C2;P1;BG;30;697.0
UBS I;GO;101.0;10.0;SOJA;11026740P1052;NEO771 I2X;SEM TRATAMENTO;C2;P1;BG;30;696.0
